"","stop_id","stop_name","latitude","longitude"
"7755",70061,"Alewife",42.395428,-71.142483
"7764",70126,"Allston Street",42.348649,-71.137881
"7765",70127,"Allston Street",42.348546,-71.137362
"7770",70083,"Andrew",42.330154,-71.057655
"7777",70047,"Airport",42.374262,-71.030395
"7784",70043,"Aquarium",42.359784,-71.051652
"7791",70156,"Arlington",42.351902,-71.070893
"7799",70093,"Ashmont",42.284239,-71.063601
"7800",70094,"Ashmont",42.284258,-71.063524
"7801",70261,"Ashmont",42.284095,-71.063302
"7808",70278,"Assembly",42.392811,-71.077257
"7813",70136,"Babcock Street",42.351776,-71.12153
"7814",70137,"Babcock Street",42.351903,-71.122042
"7820",70014,"Back Bay",42.34735,-71.075727
"7839",70257,"Back of the Hill",42.329369,-71.111046
"7840",70258,"Back of the Hill",42.329399,-71.110931
"7842",70176,"Beaconsfield",42.335809,-71.140841
"7843",70177,"Beaconsfield",42.335848,-71.140826
"7851",70229,"Washington Square",42.339471,-71.135139
"7852",70230,"Washington Square",42.339519,-71.134587
"7857",70148,"Blandford Street",42.349165,-71.099821
"7858",70149,"Blandford Street",42.349276,-71.100213
"7862",70055,"Beachmont",42.397542,-70.992319
"7866",70225,"Brandon Hall",42.340053,-71.128869
"7867",70226,"Brandon Hall",42.340038,-71.12866
"7869",70038,"Bowdoin",42.361365,-71.062037
"7876",70158,"Boylston",42.352531,-71.064682
"7877",70159,"Boylston",42.353214,-71.064545
"7883",70081,"Broadway",42.342622,-71.056967
"7888",70134,"Packards Corner",42.351891,-71.125067
"7889",70135,"Packards Corner",42.351651,-71.12551
"7893",70178,"Brookline Hills",42.331238,-71.127012
"7894",70179,"Brookline Hills",42.331333,-71.126998
"7901",70249,"Brigham Circle",42.334331,-71.104487
"7902",70250,"Brigham Circle",42.334846,-71.103017
"7905",70105,"Braintree",42.208371,-71.001423
"7912",70144,"Boston University Central",42.350013,-71.106902
"7913",70145,"Boston University Central",42.350148,-71.107455
"7915",70146,"Boston University East",42.349659,-71.103989
"7916",70147,"Boston University East",42.349811,-71.104657
"7918",70265,"Butler",42.272343,-71.062585
"7919",70266,"Butler",42.272291,-71.0625
"7925",70142,"Boston University West",42.350765,-71.113133
"7926",70143,"Boston University West",42.350894,-71.113645
"7928",70180,"Brookline Village",42.332838,-71.116234
"7929",70181,"Brookline Village",42.332871,-71.116263
"7935",70273,"Capen Street",42.267712,-71.087751
"7936",70274,"Capen Street",42.267562,-71.087428
"7941",70028,"Community College",42.373622,-71.069533
"7945",70263,"Cedar Grove",42.27968,-71.060434
"7946",70264,"Cedar Grove",42.279692,-71.060382
"7952",70269,"Central Avenue",42.270027,-71.073337
"7953",70270,"Central Avenue",42.26997,-71.073308
"7960",70172,"Chestnut Hill",42.326633,-71.165299
"7961",70173,"Chestnut Hill",42.326654,-71.165316
"7967",70112,"Chestnut Hill Avenue",42.33873,-71.152526
"7968",70113,"Chestnut Hill Avenue",42.33829,-71.153025
"7972",70073,"Charles/MGH",42.361166,-71.070628
"7978",70018,"Chinatown",42.352547,-71.062752
"7985",70114,"Chiswick Road",42.340808,-71.150633
"7986",70115,"Chiswick Road",42.34054,-71.15114
"7990",70237,"Cleveland Circle",42.336216,-71.149201
"7991",70238,"Cleveland Circle",42.336252,-71.148774
"7993",70069,"Central",42.365304,-71.103621
"7994",70070,"Central",42.365379,-71.103554
"8002",70154,"Copley",42.349871,-71.078049
"8003",70155,"Copley",42.350126,-71.077376
"8010",70219,"Coolidge Corner",42.342274,-71.120915
"8011",70220,"Coolidge Corner",42.342028,-71.121685
"8019",70063,"Davis",42.39674,-71.121815
"8024",70233,"Dean Road",42.337807,-71.141753
"8025",70234,"Dean Road",42.337628,-71.142309
"8027",70020,"Downtown Crossing",42.355518,-71.060225
"8042",70166,"Eliot",42.318957,-71.216776
"8043",70167,"Eliot",42.319024,-71.216711
"8050",70235,"Englewood Avenue",42.336964,-71.145867
"8051",70236,"Englewood Avenue",42.337011,-71.145368
"8056",70227,"Fairbanks Street",42.33969,-71.131228
"8057",70228,"Fairbanks Street",42.339644,-71.131078
"8059",70251,"Fenwood Road",42.33374,-71.105721
"8060",70252,"Fenwood Road",42.333706,-71.105583
"8063",70186,"Fenway",42.345362,-71.104162
"8064",70187,"Fenway",42.345395,-71.10419
"8070",70089,"Fields Corner",42.300093,-71.061667
"8076",70001,"Forest Hills",42.300523,-71.113686
"8087",70039,"Government Center",42.359705,-71.059215
"8094",70128,"Griggs Street",42.348747,-71.1345
"8095",70129,"Griggs Street",42.348919,-71.134305
"8099",70002,"Green Street",42.310525,-71.107414
"8105",70024,"Haymarket",42.363021,-71.05829
"8115",70067,"Harvard",42.373362,-71.118956
"8122",70130,"Harvard Avenue",42.350263,-71.131298
"8123",70131,"Harvard Avenue",42.350602,-71.130727
"8129",70260,"Heath Street",42.328316,-71.110252
"8131",70213,"Hawes Street",42.344758,-71.111761
"8132",70214,"Hawes Street",42.344867,-71.111157
"8134",70152,"Hynes Convention Center",42.347888,-71.087903
